Subject,Start Date,End Date,Start Time,End Time,Description,Location
Partita U14F,18/02/2023,18/02/2023,18:00,20:00,Valsusa Volley - Oulx - Basso Canavese Foglizzo,"PALESTRA PRA' LONG - CORSO ORTIGARA, OULX"
Partita U14F,12/02/2023,12/02/2023,11:00,13:00,Basso Canavese Foglizzo - Pvl Cerealterra,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,19/02/2023,19/02/2023,11:00,13:00,Basso Canavese Foglizzo - Teknoservice Bzz Piossasco Volley,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,25/02/2023,25/02/2023,15:30,17:30,Basso Canavese Foglizzo - Alto Canavese Volley,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,05/03/2023,05/03/2023,10:30,12:30,To.volley - Basso Canavese Foglizzo,"PALESTRA TRECATE - VIA VASILE 31, TORINO"
Partita U14F,18/03/2023,18/03/2023,15:30,17:30,Basso Canavese Foglizzo - Chiale Val Chisone,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,25/03/2023,25/03/2023,15:30,17:30,Basso Canavese Foglizzo - Valsusa Volley - Oulx,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,01/04/2023,01/04/2023,15:30,17:30,Pvl Cerealterra - Basso Canavese Foglizzo,"PALESTRA COMUNALE - VIA CAPITANO GATTI, 1, MATHI"
Partita U14F,16/04/2023,16/04/2023,11:00,13:00,Teknoservice Bzz Piossasco Volley - Basso Canavese Foglizzo,"PALASPORT CAMUSSO - VIA SAN GIUSEPPE, 133/6, CUMIANA"
Partita U14F,23/04/2023,23/04/2023,15:00,17:00,Alto Canavese Volley - Basso Canavese Foglizzo,"PALA CITTA' DI CUORGNE' - VIA CAPPA, 2, CUORGNE'"
Partita U14F,06/05/2023,06/05/2023,15:30,17:30,Basso Canavese Foglizzo - To.volley,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,20/05/2023,20/05/2023,15:30,17:30,Chiale Val Chisone - Basso Canavese Foglizzo,"PALESTRA COMUNALE - VIA DANTE ALIGHIERI, s.n., VILLAR PEROSA"
